"first_author","publication_year","doi","source","scope","category","time_period","temporal_resolution","spatial_scale","taxonomic_group","paper_type","framing_title","framing_abstract","scope_multi_species","scope_multi_higher_class_and_up","reporting_significance","reporting_effect_size","reporting_uncertainty_w_effect_size","attribution_component","attribution_quant_test","relevance_for_prediction_potentially_1","relevance_for_prediction_directly_1","scored_sum"
"Harrison","2010","https://doi.org/10.1016/j.quascirev.2010.07.016","AR5 Ch4","ecological","near-time","73.5 - 20ka","100 years","Global","Pollen","Meta-analysis/Compilation",1,1,1,1,0,1,0,1,0,1,0,7
"Haywood","2006","https://doi.org/10.1016/j.palaeo.2005.12.012","AR5 Ch4","ecological","deep-time","3.29 - 2.97 ma","10000 years","Global","Vegetation, hominids","Modelling",1,1,1,1,1,1,1,1,1,1,0,10
"Hegarty","2012","https://doi.org/10.1111/j.1365-294X.2012.05720.x","AR5 Ch4","ecological","modern","","1 year","Local","many","Review (nothing new)",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Hickler","2012","https://doi.org/10.1111/j.1466-8238.2010.00613.x","AR5 Ch4","ecological","modern","1961 - 2500","1 year","Continent","Vegetation","Modelling",0,1,1,1,0,1,1,1,1,1,1,9
"Hof","2011a","https://doi.org/10.1038/nature10650","AR5 Ch4","ecological","modern","1980 - 2080","1 year","Global","Amphibians","Modelling",1,1,1,0,1,1,1,1,1,1,1,10
"Hurtt","2011","https://doi.org/10.1007/s10584-011-0153-2","AR5 Ch4","ecological","historical","1500 - 2100","1 year","Global","land use - so many","Modelling",0,1,1,1,1,1,1,1,1,1,1,10
"Jackson","2000","https://doi.org/10.1017/S0094837300026932","AR5 Ch4","ecological","near-time","2100 AD to 450 ka BP","1000 years","Global","Plants","Modelling",1,1,1,1,0,1,1,1,0,1,1,9
"Jackson","2009","https://doi.org/10.1126/science.1172977","AR5 Ch4","ecological","near-time","na","na","na","na","Review (nothing new)",0,1,0,0,0,0,0,0,0,1,0,2
"Jaramillo","2010","https://doi.org/10.1126/science.1193833","AR5 Ch4","ecological","deep-time","56.3 ma (PETM)","10000 years","Regional","Pollen","Original data",1,1,1,1,1,1,0,1,0,1,0,8
"Kinlan","2003","https://doi.org/10.1890/01-0622","AR5 Ch4","ecological","modern","","1 year","Global","many","Modelling",0,0,1,1,0,0,0,0,0,0,0,2
"Kropelin","2008","https://doi.org/10.1126/science.1154913","AR5 Ch4","ecological","near-time","0 - 6,000 BP","100 years","Regional","terrestrial ecosystem","Original data",1,1,1,1,0,0,0,1,0,1,0,6
"Leadley","2010","Book/Report","AR5 Ch4","ecological","modern","","1 year","Global","many","Report",0,1,1,1,1,1,1,1,1,1,1,10
